strategy_name	strategy_description	strategy_score_dev	strategy_score_eval	performance_description
gpt54_mid_22apr26_1_v21	V21: 4h inside-bar expansion family. Keep the V20 double-inside breakout, but add a stricter single-inside companion pattern to recover coverage while staying inside the same compression-breakout idea. Double-inside takes priority when both qualify.	0.39	-	PNL +95.34% | PF 3.64 | Sort 12.29 | MDD 6.97% | Gen 0.252 | 37 trades | not eligible
gpt54_mid_22apr26_1_v22	V22: V21 with pattern-specific exits. Keep both inside-bar breakout patterns, but trade the weaker single-inside setup with a smaller 2.0 ATR target and shorter max hold while leaving the stronger double-inside branch at 2.5 ATR.	0.32	-	PNL +89.60% | PF 3.75 | Sort 11.52 | MDD 7.44% | Gen 0.262 | 37 trades | not eligible
gpt54_mid_22apr26_1_v23	V23: V22 plus conviction sizing. Keep both inside-bar breakout patterns and their pattern-specific exits, but size the weaker single-inside branch at 0.8x while leaving the stronger double-inside branch at full size.	0.34	-	PNL +81.13% | PF 3.90 | Sort 12.38 | MDD 6.81% | Gen 0.264 | 37 trades | not eligible
gpt54_mid_22apr26_1_v24	V24: V22 with stronger conviction sizing. Keep both inside-bar breakout patterns and their pattern-specific exits, but cut the weaker single-inside branch to 0.6x while leaving the stronger double-inside branch at full size.	0.37	-	PNL +72.66% | PF 4.12 | Sort 13.46 | MDD 6.10% | Gen 0.264 | 37 trades | not eligible
gpt54_mid_22apr26_1_v25	V25: V24 plus symbol-pattern cooldown. Keep the inside-bar breakout family and the 0.6x single-inside sizing, but change cooldown from symbol-side to symbol-pattern so the two patterns can coexist on the same symbol when they are genuinely separate setups.	0.36	-	PNL +71.61% | PF 3.94 | Sort 13.26 | MDD 6.15% | Gen 0.263 | 38 trades | not eligible
gpt54_mid_22apr26_1_v26	V26: V24 plus a stricter macro gate on the weaker single-inside pattern only. Double-inside keeps the broad bullish gate; single-inside now requires stronger BTC 3d and symbol 48h momentum so it stops firing in flatter sideways conditions.	0.45	-	PNL +73.46% | PF 4.26 | Sort 14.24 | MDD 5.39% | Gen 0.269 | 36 trades | not eligible
gpt54_mid_22apr26_1_v27	V27: V26 with a slightly larger single-inside haircut. Keep the stronger single-inside macro gate, but reduce its size from 0.6x to 0.5x to test whether another step down in branch variance lifts generalization without materially hurting preference.	0.47	-	PNL +69.10% | PF 4.40 | Sort 14.80 | MDD 5.10% | Gen 0.266 | 36 trades | not eligible
gpt54_mid_22apr26_1_v28	V28: V26 with a heavy single-inside haircut. Keep the stronger single-inside macro gate, but cut its size to 0.3x so the pattern contributes coverage and optional upside without dominating bucket variance.	0.47	-	PNL +60.36% | PF 4.78 | Sort 15.75 | MDD 4.47% | Gen 0.256 | 36 trades | not eligible
gpt54_mid_22apr26_1_v29	V29: V26 with a wider double-inside definition. Restore the single-inside branch to 0.6x and slightly loosen the double-inside compression thresholds plus break distance so the stronger branch can contribute more of the coverage.	0.65	-	PNL +77.95% | PF 4.46 | Sort 16.06 | MDD 2.91% | Gen 0.283 | 37 trades | not eligible
gpt54_mid_22apr26_1_v30	V30: V29 with a moderate single-inside haircut. Keep the wider double-inside definition that improved coverage, but trim the weaker single-inside branch from 0.6x to 0.5x to see whether that pushes generalization over the line.	0.65	-	PNL +73.58% | PF 4.62 | Sort 17.00 | MDD 2.88% | Gen 0.282 | 37 trades | not eligible
gpt54_mid_22apr26_1_v31	V31: V30 plus a clean-branch boost. Keep the wider double-inside definition and the 0.5x single-inside sizing, but increase the higher-quality double-inside branch to 1.2x so bucket PnL is driven more by the cleaner setup.	0.80	-	PNL +83.92% | PF 4.78 | Sort 18.20 | MDD 3.33% | Gen 0.279 | 37 trades | not eligible
gpt54_mid_22apr26_1_v32	V32: V31 with a smaller double-inside target. Keep the 1.2x double-inside emphasis and the 0.5x single-inside sizing, but reduce the stronger branch from 2.5 ATR to 2.3 ATR so the cleaner setup realizes gains earlier and less lumpily.	0.82	0.00	PNL +85.24% | PF 5.22 | Sort 18.50 | MDD 3.39% | Gen 0.271 | 37 trades | not eligible
gpt54_mid_22apr26_1_v40	V40: 4h inside-bar expansion family, now bidirectional. Keep the bullish long branch from V32, but add mirrored bearish breakdown patterns with the same compression logic so the strategy can contribute in bearish buckets instead of relying on long-only dispersion.	0.41	-	PNL +94.65% | PF 2.42 | Sort 4.56 | MDD 10.32% | Gen 0.266 | 82 trades | eligible
gpt54_mid_22apr26_1_v41	V41: inside-bar expansion family with selective bearish coverage. Keep both long breakout patterns and only the stronger bearish single-inside breakdown branch; remove the weaker double-inside short branch that was poisoning dev_pairs [bearish].	0.79	-	PNL +95.32% | PF 3.34 | Sort 16.20 | MDD 8.38% | Gen 0.292 | 67 trades | eligible
gpt54_mid_22apr26_1_v42	V42: V41 plus weaker-branch pacing. Keep the selective bearish coverage from V41, but run a longer cooldown on all single-inside patterns while leaving double-inside on a shorter cooldown, so clustered weaker setups contribute less bucket variance.	1.45	0.01	PNL +104.09% | PF 4.25 | Sort 17.75 | MDD 3.49% | Gen 0.307 | 62 trades | eligible
gpt54_mid_22apr26_1_v50	V50: 4h crowded structural value acceptance. Use funding to locate a crowded side, require the prior bar to be mispriced versus daily open and rolling value, then enter when a decisive 4h candle re-accepts that value zone with confirming CVD flow. Mirror logic for shorts. This is a daily-open/value migration pattern, not EMA pullback, squeeze release, divergence, inside-bar breakout, or support-pierce reclaim.	0.00	-	PNL -16.18% | PF 0.00 | Sort -2.29 | MDD 16.18% | Gen 0.245 | 12 trades | not eligible
gpt54_mid_22apr26_1_v51	V51: asymmetric 4h structural value acceptance. Keep the daily-open/value reclaim core, add a weekly-open companion trigger, remove the broken mirrored short branch, and use crowded negative funding only as a size boost rather than a hard entry gate. This stays in the daily-open/value migration family rather than EMA pullback, squeeze release, divergence, inside-bar breakout, or support-pierce reclaim.	0.00	-	PNL -20.99% | PF 0.90 | Sort -0.62 | MDD 58.19% | Gen 0.062 | 138 trades | not eligible
gpt54_mid_22apr26_1_v52	V52: weekly-open value reclaim only. Drop the poisoned daily branch, require bullish BTC structure, demand a full reclaim of daily open plus rolling value on the weekly-open cross, reject euphoric funding, and keep negative funding only as a size boost. This is still a structural value-migration pattern rather than EMA pullback, squeeze release, divergence, inside-bar breakout, or support-pierce reclaim.	0.00	-	PNL -8.59% | PF 0.79 | Sort -0.74 | MDD 26.58% | Gen 0.062 | 28 trades | not eligible
gpt54_mid_22apr26_1_v60	V60: accepted-value flow thrust. Require price to already hold above/below weekly open, daily open, rolling VWAP, and POC; require the prior bar to be a contained pause; then enter on a high-body, high-volume CVD thrust through the recent 3-bar range. Funding is only used for asymmetric position boosts, not as the core entry condition.	0.07	-	PNL +90.00% | PF 1.60 | Sort 2.07 | MDD 27.25% | Gen 0.175 | 109 trades | eligible
gpt54_mid_22apr26_1_v61	V61: accepted-value flow thrust with stricter shorts. Keep the V60 long branch intact, but only allow shorts when BTC is already down over 24h, the alt is locally weak, and funding still shows crowded longs. The aim is to preserve the strong stress-bearish short edge while cutting the weaker breakdowns.	0.05	-	PNL +59.65% | PF 1.96 | Sort 3.07 | MDD 21.11% | Gen 0.217 | 55 trades | eligible
gpt54_mid_22apr26_1_v62	V62: accepted-value flow thrust with the V61 entry logic but a smaller 2.0 ATR target. The goal is to keep the same accepted-value/CVD thrust signal while smoothing the payout profile and reducing dependence on a handful of oversized trend legs.	0.04	-	PNL +51.87% | PF 1.89 | Sort 2.86 | MDD 21.65% | Gen 0.187 | 55 trades | eligible
gpt54_mid_22apr26_1_v63	V63: accepted-value flow thrust with the V61 exits restored and a stricter pause bar. The prior bar now has to be visibly quieter before the thrust, so the branch focuses on cleaner value-hold consolidations rather than every one-bar continuation.	0.03	-	PNL +51.09% | PF 2.13 | Sort 2.81 | MDD 19.61% | Gen 0.213 | 40 trades | eligible
gpt54_mid_22apr26_1_v64	V64: accepted-value flow thrust, but BTC is treated as macro-only. The entry logic stays at the stronger V61 settings, while BTC itself is no longer traded because the strategy already uses BTC as the regime anchor and its own tape behaved materially differently from the alt universe in development.	0.08	-	PNL +72.96% | PF 2.57 | Sort 4.53 | MDD 16.10% | Gen 0.252 | 47 trades | eligible
gpt54_mid_22apr26_1_v65	V65: V64 plus a tighter long-side funding cap. Keep BTC as macro-only and keep the accepted-value thrust entry, but stop buying long thrusts once funding is already too euphoric, so the branch leans harder into under-owned continuation rather than late crowding.	0.02	-	PNL +39.73% | PF 2.14 | Sort 2.80 | MDD 15.18% | Gen 0.289 | 31 trades | not eligible
gpt54_mid_22apr26_1_v66	V66: accepted-value flow thrust on 4h, alt-only. Keep BTC as macro-only and keep the accepted-value thrust entry, but cap long-side funding at a moderate level so we retain more coverage than the stricter euphoria cap while still filtering the most crowded late-trend breakouts.	0.00 (test)	0.01	PNL +47.78% | PF 2.03 | Sort 2.87 | MDD 16.10% | Gen 0.290 | 41 trades | eligible
gpt54_mid_22apr26_1_v67	V67: calmer-volatility version of V64. Keep BTC macro-only and keep the accepted-value thrust entry, but reject higher ATR-ratio states so the branch trades cleaner accepted-value breaks rather than the noisiest expansion regimes.	0.08	-	PNL +72.96% | PF 2.57 | Sort 4.53 | MDD 16.10% | Gen 0.252 | 47 trades | eligible
gpt54_mid_22apr26_1_v68	V68: accepted-value flow thrust with a minimum break distance. Keep the V64 logic, but require the close to clear the recent 3-bar range by a small additional margin so the branch is buying and selling cleaner range escapes rather than marginal closes through prior extremes.	0.08	-	PNL +72.96% | PF 2.57 | Sort 4.53 | MDD 16.10% | Gen 0.252 | 47 trades | eligible
gpt54_mid_22apr26_1_v70	V70: accepted-value flow thrust with per-close concentration control. Keep the V64 entry logic, but cap each 4h close to the top few conviction-ranked signals so one timestamp cannot dominate portfolio variance across the whole alt universe.	0.04	-	PNL +50.20% | PF 2.08 | Sort 3.03 | MDD 16.10% | Gen 0.288 | 42 trades | eligible
gpt54_mid_22apr26_1_v71	V71: accepted-value flow thrust with a smaller companion long. Keep the main V64-style branch and the per-close concentration cap, but add a partial-size long continuation when the same accepted-value / CVD structure is present on a slightly shorter breakout.	0.04	-	PNL +50.75% | PF 2.02 | Sort 3.03 | MDD 16.10% | Gen 0.286 | 45 trades | eligible
gpt54_mid_22apr26_1_v72	V72: accepted-value flow thrust with a modest BTC momentum floor on longs. Keep the existing accepted-value / CVD thrust structure, but require BTC to be up at least 0.5% over 24h before taking long-side continuation, so the macro label is backed by actual short-term tape strength.	0.05	-	PNL +54.16% | PF 2.17 | Sort 3.54 | MDD 16.10% | Gen 0.283 | 44 trades | eligible
gpt54_mid_22apr26_1_v80	V80: 6h port of the accepted-value flow thrust. Keep the alt-only universe, weekly/daily value acceptance, and CVD-backed thrust trigger, but move the primary bar to 6h so the same mechanism is evaluated in a slower and hopefully less noisy regime.	0.00	-	PNL +16.93% | PF 1.34 | Sort 1.08 | MDD 19.35% | Gen 0.071 | 30 trades | not eligible
