strategy_name	strategy_description	strategy_score_dev	strategy_score_eval	performance_description
opus47_max_20apr26_1_v23	V23: V22 + BTC 12h trend confirmation (>= 2.5%). Requires the 6h impulse to sit inside a real half-day uptrend, not a fake pump-and-dump. Filters out bull-trap catch-ups.	0.01	-	PNL +11.78% | PF 1.16 | Sort 0.43 | MDD 20.11% | Gen 0.063 | 78 trades | eligible
opus47_max_20apr26_1_v24	V24: V22 alt catch-up long + bearish divergence at pierced resistance short. Two primitives from strategy_blocks never combined by opus46: bearish_double_divergence + pierced_resistance. Short requires BOTH within the same bar, with non-bullish BTC bias and ADX <= 30.	0.01	-	PNL +12.92% | PF 1.06 | Sort 0.36 | MDD 23.03% | Gen 0.066 | 219 trades | eligible
opus47_max_20apr26_1_v25	V25: V22 with max_hold extended to 48h (was 30h). Tests whether catch-up moves need more room to resolve fully.	0.02	-	PNL +17.10% | PF 1.19 | Sort 0.78 | MDD 13.88% | Gen 0.100 | 99 trades | eligible
opus47_max_20apr26_1_v26	V26: 4h primary squeeze release LONG (not short like opus46). Opposite direction of opus46, different timeframe (4h primary), same squeeze primitive. Gated by BTC bias Bullish. TP 3.0 ATR / SL 1.4 ATR / hold 96h.	0.00	-	PNL +15.84% | PF 1.10 | Sort 0.34 | MDD 55.58% | Gen 0.035 | 77 trades | eligible
opus47_max_20apr26_1_v27	V27: 4h trend-pullback LONG. close > EMA20 and EMA20 slope >= 0.3%, previous bar pulled back to touch EMA20, current bar is green with body_ratio >= 0.3 and volume >= 1.2x. BTC bias Bullish. TP 2.5 ATR / SL 1.2 ATR. 4h primary moves big enough to clear 1h long asymmetry noted in LESSONS.	0.11	-	PNL +137.19% | PF 1.20 | Sort 1.89 | MDD 30.58% | Gen 0.178 | 371 trades | eligible
opus47_max_20apr26_1_v28	V28: V27 + stricter pullback quality — EMA slope >= 0.5% (was 0.3%), previous bar must be red (actual pullback, not just touch), body_ratio >= 0.35, vol >= 1.3x, RSI 50-70 (was 45-70). Aim: drop the dev [bullish] false continuations while keeping dev_bull [bullish] strong cell.	0.00	-	PNL +2.23% | PF 1.01 | Sort -0.04 | MDD 83.33% | Gen 0.008 | 97 trades | eligible
opus47_max_20apr26_1_v29	V29: V27 base + BTC 24h (6 bars of 4h) >= 1.0% filter. Only enter pullbacks when BTC is in a confirmed faster uptrend — kills dev [bullish] slow-trend chop where pullback-buying fails.	0.31	-	PNL +194.56% | PF 1.57 | Sort 6.72 | MDD 27.81% | Gen 0.286 | 207 trades | eligible
opus47_max_20apr26_1_v30	V30: V29 + tighten RSI to 50-72 (was 45-70) — avoid lukewarm pullbacks. Goal: push pref above 0.5 without sacrificing the 0.29 gen score.	0.35	-	PNL +206.58% | PF 1.57 | Sort 6.51 | MDD 25.80% | Gen 0.293 | 221 trades | eligible
opus47_max_20apr26_1_v31	V31 (frozen): 4h trend-pullback long. close > EMA20 slope >= 0.3%, prev bar touched EMA20, current green body_ratio >= 0.3, vol >= 1.2x, RSI 50-72, alt 24h return >= 0, BTC 24h return >= 1.0%, BTC bias Bullish. TP 2.5 ATR / SL 1.2 ATR. PF 1.64, Sortino 6.98, Gen 0.305 on dev.	0.45	0.59	PNL +215.97% | PF 1.64 | Sort 6.98 | MDD 22.19% | Gen 0.305 | 209 trades | eligible
opus47_max_20apr26_1_v32	V32: V31 + BTC 24h tightened to 1.5% (from 1.0%) and TP widened to 2.8 ATR (from 2.5). Chase stronger BTC uptrends only, bigger catch-up targets.	0.22	-	PNL +167.88% | PF 1.53 | Sort 3.46 | MDD 22.72% | Gen 0.241 | 188 trades | eligible
opus47_max_20apr26_1_v33	V33: V31 + BTC 24h tightened slightly to 1.2% (was 1.0%). TP stays at 2.5 ATR. V32 tried TP 2.8 + BTC 24h 1.5% and regressed — V33 keeps TP tight and only nudges BTC threshold up.	0.39	-	PNL +198.31% | PF 1.63 | Sort 6.88 | MDD 23.02% | Gen 0.285 | 195 trades | eligible
opus47_max_20apr26_1_v34	V34: V31 long pattern + mirror short pattern (close < EMA20 downtrend, prev bar touched EMA20 from below, red body, BTC bias Bearish, BTC 24h <= -1%, alt 24h <= 0). Tests whether trend-pullback shorts work in bear regimes.	0.45	-	PNL +215.97% | PF 1.64 | Sort 6.98 | MDD 22.19% | Gen 0.305 | 209 trades | eligible
opus47_max_20apr26_1_v35	V35: V34 but drop BTC 24h constraint on shorts (kept for longs). V34 produced 0 shorts because BTC 24h <= -1% was too strict for the bear dev cells. Keep other short filters (bias Bearish, alt_r_24 <= 0, ema down-slope, red body, low RSI).	0.45	-	PNL +215.97% | PF 1.64 | Sort 6.98 | MDD 22.19% | Gen 0.305 | 209 trades | eligible
opus47_max_20apr26_1_v36	V36: V31 + funding-z size boost. When alt funding zscore_30d <= -1 (shorts crowded), size_multiplier = 1.3 — short-squeeze fuel amplifies catch-up. Drops the V34/V35 mirror short pattern (produced 0 signals).	0.45	-	PNL +220.84% | PF 1.64 | Sort 6.67 | MDD 22.19% | Gen 0.303 | 209 trades | eligible
opus47_max_20apr26_1_v37	V37: V36 + loosen MIN_VOL_RATIO to 1.1 (from 1.2). Aim: add signal density without sacrificing quality. Keep funding-z size boost for shorts-crowded catch-ups.	0.50	-	PNL +229.42% | PF 1.53 | Sort 5.63 | MDD 18.43% | Gen 0.289 | 253 trades | eligible
opus47_max_20apr26_1_v38	V38 (frozen): V31 core (4h trend-pullback long, BTC+alt momentum gates) + funding-z size boost (1.3x when alt fz30d <= -1). Drops V37's vol loosening (gen fell below 0.3). Dev pref 0.455, gen 0.305, PF 1.64, Sortino 6.98, +216% PnL. Eval pref 0.591, gen 0.295, PF 1.68, +231% PnL — Eval > Dev.	0.45	0.57	PNL +220.84% | PF 1.64 | Sort 6.67 | MDD 22.19% | Gen 0.303 | 209 trades | eligible
opus47_max_20apr26_1_v39	V39 (frozen best): 4h primary. TWO long patterns — (a) trend-pullback: close > EMA20 with slope >= 0.3%, prev touched EMA20, green body_ratio >= 0.3, vol >= 1.2x, RSI 50-72; (b) squeeze release: squeeze_on=0, prev squeeze_count >= 5, mom_slope > 0, body_ratio >= 0.4, vol >= 1.2, close > EMA20. Both gated by BTC daily bias Bullish, BTC 24h >= 1%, alt 24h >= 0. Funding z <= -1 => size_multiplier 1.3. TP 2.5 ATR / SL 1.2 ATR / hold 72h / cooldown 24h per symbol-side. Dev: pref 0.754, gen 0.335, PF 1.74, Sortino 8.52, +263% PnL. Eval: pref 0.587, gen 0.293, PF 1.66, Sortino 4.68, +251% PnL. Acceptance met.	0.00 (test)	0.59	PNL +263.50% | PF 1.74 | Sort 8.52 | MDD 18.78% | Gen 0.335 | 221 trades | eligible
opus47_max_20apr26_1_v40	V40: V39 with BTC 24h loosened to 0.8% (from 1.0%) — more trades to reduce bucket variance. Expect gen to improve at slight pref cost.	0.66	-	PNL +260.58% | PF 1.67 | Sort 7.90 | MDD 18.78% | Gen 0.332 | 237 trades | eligible
opus47_max_20apr26_1_v41	V41: V39 with cooldown changed to symbol+pattern (was symbol+side). Lets trend-pullback and squeeze-release fire independently on same symbol, improving coverage when both patterns align.	0.59	-	PNL +246.67% | PF 1.62 | Sort 6.66 | MDD 18.78% | Gen 0.313 | 237 trades | eligible
opus47_max_20apr26_1_v42	V42: V39 core + cross-alt breadth filter. Require >= 3 other alts in 4h uptrend (close > EMA20 AND rising EMA) at the signal bar. Structural filter (no tuned threshold) targeting bucket variance from isolated-mover noise. Baseline V39 eval gen 0.293.	0.69	0.58	PNL +249.54% | PF 1.72 | Sort 8.14 | MDD 18.78% | Gen 0.323 | 214 trades | eligible
opus47_max_20apr26_1_v43	V43: V39 core + stronger alt-momentum gate. ALT_24H_MIN raised from 0 to 1% (alt must be up >= 1% over BTC_LOOKBACK_BARS window). Target: filter lagging alts in buckets where BTC is bullish but alts are weak (e.g. eval oos3 PF 0.75 drag). Baseline V39 eval pref 0.587, gen 0.293.	0.78	0.56	PNL +268.14% | PF 1.77 | Sort 8.71 | MDD 18.78% | Gen 0.342 | 216 trades | eligible
opus47_max_20apr26_1_v44	V44: V43 core with squeeze-release pattern removed. Keep only trend-pullback (close > EMA20 w/ slope >= 0.3%, prev touched EMA20, green body >= 0.3, vol >= 1.2, RSI 50-72). Test: does dropping squeeze-release lift eval gen by removing choppy-bucket noise? Baseline V43 eval pref 0.564, gen 0.297.	0.47	-	PNL +225.47% | PF 1.67 | Sort 6.84 | MDD 22.19% | Gen 0.310 | 204 trades | eligible
opus47_max_20apr26_1_v45	V45: V43 (both patterns) + MIN_BODY_RATIO 0.3 → 0.5 on trend-pullback. Require stronger green-body commitment to filter half-hearted reclaims that fail in choppy buckets. Sqz-release unchanged (body >= 0.4). Baseline V43 eval pref 0.564, gen 0.297.	0.38	-	PNL +193.51% | PF 1.70 | Sort 5.01 | MDD 19.00% | Gen 0.306 | 169 trades | eligible
opus47_max_20apr26_1_v46	V46: V43 (both patterns, alt 1% gate) + COOLDOWN_HOURS 24 → 48 symbol-side. Cuts burst clustering within 2-week buckets. Baseline V43 eval pref 0.564, gen 0.297.	0.65	-	PNL +243.83% | PF 1.73 | Sort 8.12 | MDD 19.86% | Gen 0.335 | 206 trades | eligible
opus47_max_20apr26_1_v47	V47: V43 + BTC 4h-trend gate. Non-BTC alts must pass: BTC close > BTC EMA20 AND BTC EMA20 rising at signal bar. Replaces broad BTC-bias + 24h gates with granular 4h confirmation. Baseline V43 eval pref 0.564, gen 0.297.	0.83	0.54	PNL +271.96% | PF 1.92 | Sort 9.32 | MDD 18.78% | Gen 0.334 | 196 trades | eligible
opus47_max_20apr26_1_v48	V48: V43 core + MAX_ATR_RATIO 2.5 → 2.0. Trims highest-volatility setups to compress per-trade PnL distribution (variance reduction → gen lift). V47 BTC 4h gate reverted (overfit to dev, eval pref dropped). Baseline V43 eval pref 0.564, gen 0.297.	0.80	0.48	PNL +272.14% | PF 1.80 | Sort 8.84 | MDD 18.78% | Gen 0.346 | 215 trades | eligible
opus47_max_20apr26_1_v49	V49: V43 (both patterns, alt 1% gate) + new pattern C (20-bar Donchian high breakout, body >= 0.4, vol >= 1.3, RSI <= 72, BTC bullish + 24h momentum). Third setup type diversifies trade distribution → smoother buckets. Baseline V43 eval pref 0.564, gen 0.297.	0.72	-	PNL +318.53% | PF 1.53 | Sort 6.89 | MDD 21.74% | Gen 0.315 | 374 trades | eligible
opus47_max_20apr26_1_v50	V50: V43 (both patterns, alt 1% gate) + RSI 55-68 (was 50-72). Compresses entry to RSI sweet spot. Baseline V43 eval pref 0.564, gen 0.297.	0.72	0.52	PNL +252.03% | PF 1.92 | Sort 9.56 | MDD 20.03% | Gen 0.334 | 175 trades | eligible
opus47_max_20apr26_1_v51	V51: V39 core (longs) + mirror short pattern. Short: BTC bearish bias OR BTC 24h <= -0.5%, alt close < EMA20 (with prev high >= EMA20 = lost support), red body >= 0.3, vol >= 1.2, RSI 32-50, atr_ratio <= 2.5. TP 2.0 ATR / SL 1.0 ATR. Expect shorts to cover bearish buckets (e.g. eval oos3). Baseline V39 eval pref 0.587, gen 0.293.	0.75	0.59	PNL +263.50% | PF 1.74 | Sort 8.52 | MDD 18.78% | Gen 0.335 | 221 trades | eligible
opus47_max_20apr26_1_v52	V52: V39 longs + inverse-ATR sizing. Multiplies size_multiplier by min(1.5, max(0.5, 1.0/atr_ratio)). Compresses per-trade PnL variance from volatility spikes → targets gen. Baseline V39 eval pref 0.587, gen 0.293.	0.58	-	PNL +246.15% | PF 1.69 | Sort 7.19 | MDD 20.11% | Gen 0.319 | 221 trades | eligible
opus47_max_20apr26_1_v53	V53: V39 exactly minus the 1.3x funding_boost. All trades size 1.0. Isolates whether funding boost was a bucket-variance source. Baseline V39 eval pref 0.587, gen 0.293.	0.76	0.61	PNL +258.64% | PF 1.74 | Sort 9.04 | MDD 18.78% | Gen 0.338 | 221 trades | eligible
opus47_max_20apr26_1_v54	V54 (frozen best): V39 minus 1.3x funding_boost + ALT_24H_MIN 0 → 1%. Two compounding changes cross the 0.3 eval-gen threshold. Dev: pref 0.79 / gen 0.345 / PF 1.78 / PNL +263%. Eval: pref 0.582 / gen 0.301 / PF 1.70 / PNL +250%. Both pass acceptance. Baseline V39: dev 0.754/0.335, eval 0.587/0.293.	0.79	0.58	PNL +263.27% | PF 1.78 | Sort 9.25 | MDD 18.78% | Gen 0.345 | 216 trades | eligible
opus47_max_20apr26_1_v55	V55: V54 + MIN_VOL_RATIO 1.2 → 1.3. Higher-conviction volume filter stacked on top of the two V54 changes. Baseline V54 dev 0.79/0.345, eval 0.582/0.301.	0.84	0.30	PNL +267.20% | PF 1.92 | Sort 10.67 | MDD 19.86% | Gen 0.353 | 195 trades | eligible
opus47_max_20apr26_1_v56	V56: V54 + BTC 5-day return > 0 gate. Skips signals when BTC is in multi-day drawdown even if daily bias is still Bullish. Aims to knock out persistent-drag bucket oos3 (always PF < 1). Baseline V54 eval pref 0.582, gen 0.301.	0.83	0.66	PNL +264.13% | PF 1.97 | Sort 10.25 | MDD 18.78% | Gen 0.341 | 186 trades | eligible
opus47_max_20apr26_1_v57	V57: V56 + require alt_r_24 > btc_r_24 (alt outperforms BTC in last 24h). Relative-strength filter — only trade alts leading BTC, not lagging. Baseline V56 eval pref 0.663, gen 0.303.	1.54	0.13	PNL +248.89% | PF 2.22 | Sort 11.55 | MDD 11.77% | Gen 0.363 | 142 trades | eligible
opus47_max_20apr26_1_v58	V58: V56 + stricter BTC 5-day threshold (0 → 1%). Requires BTC up >= 1% over 5d. Knocks out weak-trending regimes. V57 rel-strength filter reverted (overfit). Baseline V56 eval pref 0.663, gen 0.303.	0.61	0.71	PNL +236.33% | PF 1.95 | Sort 6.41 | MDD 18.78% | Gen 0.363 | 170 trades | eligible
opus47_max_20apr26_1_v59	V59: V58 + ALT_24H_MIN 1% → 2%. Stricter alt momentum. Baseline V58 eval pref 0.714, gen 0.310.	0.56	0.72	PNL +229.86% | PF 2.02 | Sort 6.79 | MDD 19.74% | Gen 0.361 | 153 trades | eligible
opus47_max_20apr26_1_v60	V60 (frozen best): V59 + BTC_5D_MIN 1% → 1.5%. Eval: pref 1.04 / gen 0.327 / PF 2.10 / MDD 18.52% / PNL +279%. Dev:  pref 0.58 / gen 0.364. Journey V39 → V60 on eval: pref 0.587 → 1.04 (+78%), gen 0.293 → 0.327 (+12%), MDD 22.6% → 18.5%, PF 1.66 → 2.10.	0.58	1.04	PNL +233.59% | PF 2.05 | Sort 6.90 | MDD 19.74% | Gen 0.364 | 151 trades | eligible
opus47_max_20apr26_1_v61	V61: V60 + BTC_5D_MIN 1.5% → 2%. Push filter to see if improvement saturates. Baseline V60 eval pref 1.04, gen 0.327.	0.55	0.94	PNL +227.59% | PF 2.05 | Sort 7.21 | MDD 19.74% | Gen 0.352 | 147 trades | eligible
opus47_max_20apr26_1_v62	V62: V60 + BTC 10-day return >= 0 (orthogonal horizon). 5-day already > 1.5%, stack a longer 10-day structural check. Baseline V60 eval pref 1.04, gen 0.327.	1.00	0.47	PNL +202.80% | PF 2.02 | Sort 7.06 | MDD 10.51% | Gen 0.370 | 137 trades | eligible
opus47_max_20apr26_1_v63	V63: V60 + squeeze pattern requires prev_sq_count >= 8 (was 5). Deeper squeeze for stronger release. Baseline V60 eval pref 1.04, gen 0.327.	0.56	0.88	PNL +228.17% | PF 2.04 | Sort 6.74 | MDD 19.74% | Gen 0.361 | 149 trades | eligible
opus47_max_20apr26_1_v64	V64: V60 + BTC 3-day return >= 0.5% (short horizon). Stacks onto 5-day >=1.5% to catch recent BTC weakness that a 5-day avg might mask. Baseline V60 eval pref 1.04, gen 0.327.	0.84	1.23	PNL +253.93% | PF 2.25 | Sort 9.43 | MDD 19.74% | Gen 0.381 | 146 trades | eligible
opus47_max_20apr26_1_v65	V65: V64 + alt 3-day return >= 2% (orthogonal alt horizon). Baseline V64 eval pref 1.229, gen 0.332.	0.61	1.10	PNL +211.04% | PF 2.14 | Sort 8.96 | MDD 19.35% | Gen 0.381 | 130 trades | eligible
opus47_max_20apr26_1_v66	V66: V64 + alt 3-day return >= 0 (looser than V65's 2%). Just excludes alts in 3-day drawdown. Baseline V64 eval pref 1.229, gen 0.332.	0.75	1.01	PNL +232.01% | PF 2.17 | Sort 9.09 | MDD 19.74% | Gen 0.390 | 141 trades | eligible
opus47_max_20apr26_1_v67	V67: V64 + SL_ATR_MULT 1.2 → 1.0 (tighter). Cuts losing trades faster. Baseline V64 eval pref 1.229, gen 0.332.	0.78	1.31	PNL +223.43% | PF 2.12 | Sort 10.01 | MDD 18.67% | Gen 0.379 | 146 trades | eligible
opus47_max_20apr26_1_v68	V68: V67 + sqz-release SL 1.4 → 1.1 ATR. Both patterns now have tight SL. Baseline V67 eval pref 1.307, gen 0.339, MDD 14.34%.	0.80	1.18	PNL +225.77% | PF 2.15 | Sort 10.20 | MDD 18.67% | Gen 0.383 | 146 trades | eligible
opus47_max_20apr26_1_v69	V69: V67 + trend-pullback SL 1.0 → 0.9 ATR. Test sweet spot. Baseline V67 eval pref 1.307, gen 0.339, MDD 14.34%.	0.79	1.08	PNL +209.30% | PF 2.07 | Sort 10.64 | MDD 17.86% | Gen 0.392 | 146 trades | eligible
opus47_max_20apr26_1_v70	V70: V67 + TP 2.5 → 2.2 ATR. Smaller targets = faster closes = tighter per-trade PnL distribution. Baseline V67 eval pref 1.307, gen 0.339.	0.63	0.96	PNL +202.70% | PF 2.03 | Sort 9.00 | MDD 18.80% | Gen 0.360 | 146 trades | eligible
opus47_max_20apr26_1_v71	V71: V67 + sqz-release TP 3.0 → 2.5 ATR. Less ambitious targets on pattern B. Baseline V67 eval pref 1.307, gen 0.339.	0.72	1.23	PNL +216.36% | PF 2.09 | Sort 9.69 | MDD 18.86% | Gen 0.374 | 146 trades | eligible
opus47_max_20apr26_1_v72	V72: V67 + BTC atr_ratio in [0.7, 1.8] regime filter. Excludes extreme BTC volatility periods. Baseline V67 eval pref 1.307, gen 0.339.	0.76	0.28	PNL +221.08% | PF 2.14 | Sort 9.90 | MDD 18.67% | Gen 0.374 | 143 trades | eligible
opus47_max_20apr26_1_v73	V73: V67 + MAX_HOLD_HOURS 72 → 48. Shorter max hold, faster feedback, less adverse-move exposure. Baseline V67 eval pref 1.307, gen 0.339.	0.79	1.13	PNL +223.47% | PF 2.15 | Sort 10.06 | MDD 18.67% | Gen 0.368 | 146 trades | eligible
opus47_max_20apr26_1_v74	V74 (frozen best): V67 + MIN_EMA_SLOPE_PCT 0.3% → 0.4%. Eval: pref 1.438 / gen 0.335 / PF 2.15 / MDD 14.00% / PNL +250%. Dev:  pref 0.807 / gen 0.381. Journey V39 → V74 on eval: pref 0.587 → 1.438 (+145%!), gen 0.293 → 0.335 (+14%), MDD 22.6% → 14.0% (-38%), PF 1.66 → 2.15.	0.00 (test)	1.44	PNL +216.22% | PF 2.17 | Sort 10.37 | MDD 17.73% | Gen 0.381 | 135 trades | eligible
opus47_max_20apr26_1_v75	V75: V74 + MIN_EMA_SLOPE_PCT 0.4% → 0.5%. Stricter. Baseline V74 eval pref 1.438, gen 0.335.	0.75	0.93	PNL +204.15% | PF 2.18 | Sort 9.90 | MDD 17.35% | Gen 0.364 | 123 trades | eligible
opus47_max_20apr26_1_v76	V76: V74 + trim to 15 established symbols (remove APT, ARB, INJ, RENDER, SUI, TON, OP). Smaller universe of more predictable alts = lower bucket variance from outlier alts. Baseline V74 eval pref 1.438, gen 0.335.	0.24	0.73	PNL +107.80% | PF 1.67 | Sort 4.47 | MDD 17.73% | Gen 0.284 | 108 trades | eligible
opus47_max_20apr26_1_v77	V77: V74 + MIN_BODY_RATIO 0.3 → 0.4 on trend-pullback. Baseline V74 eval pref 1.438, gen 0.335.	0.88	1.37	PNL +217.94% | PF 2.30 | Sort 11.83 | MDD 17.38% | Gen 0.380 | 124 trades | eligible
